******************************
**** Vocabulaire DUOLINGO ****
******************************

**********************
*** Les sentiments ***
**********************

Je suis désolé		Lo siento
*******************************************************************************
*** Jours de la semaine moments de la journée, mois de l'année, les saisons ***
*******************************************************************************

*** Jours de la semaine ***

Lunes Martes Miercoles Jueves Viernes Sabado Domingo

Demain 									Manana
Hier 									Ayer
Aujourd’hui 							Hoy
Le soir 								Por la noche
Hier soir 								Anoche
Le matin 								La manana
Demain matin							Manana por la manana
Bonne nuit 								buenas noches
À demain 								hasta manana
Que fais tu pour le dîner 				Que haces para la cena
A l’aube 								En la madrugada
À midi 									Al mediodia
Le matin 								Por la manana
Bonne journée							Buen dia
L'après-midi							La tarde
Bon après-midi							Buenas tardes
		
*** les mois de l’année ***

Enero, Febrero, marzo, abril,mayo, junio, julio, agosto, septiembre, octubre, noviembre, diciembre

*** Les saisons (estaciones) ***

La saison / période 					La temporada

El otono, El invierno , la primavera, El verano

*** Le temps / heure ***

Une seconde								Un segundo
Une minute 								Un minuto
Un moment 								Un rato

Un rendez-vous							Una cita

*** Repas de la journée ***

Un calendrier 	un calendario
Le déjeuner 	El almuerzo
Le dîner 		la cena
Le repas 		La comida

Un sandwich		El bocadillo / el emparedado

****************************************************
*** pièces de la maison / meubles / la vaisselle ***
****************************************************

*** pièces ***

Une cave 				Un sotano
El Piso 				Le sol / l’étage
Une chambre 			Una habitacion
Le bureau				(lieu de travail) oficina / (meuble) La mesa / el escritorio 
La chambre 				El cuarto 
La cour 				El patio

*** meubles *** 

Les chaises				las sillas
La table 				la mesa
L’escalier 				La escalera
La télévision 			La télévision
Le canapé 				El sofa
La lampe 				La lampara
Un lit 					Una cama
Un téléphone 			Un telefono
La fenêtre				La ventana
Un berceau				Una Cuna
La piscine				La piscina
Un bureau 				Un escritorio
Une porte 				Una puerta
Un miroir 				Un espejo
Le lit 					El dormitorio

*** vaisselle ***

Un verre 				Un vaso
La cuillère				La cuchara
Un couteau 				Un cuchillo
La fourchette 			El tenedor
Les assiettes 			Los platos
Les poêles 				sartenes / la sarten
Un four					Un horno
L’éponge 				La esponja
Un refrigerador 		Un refregirateur
des tasses				tazas / Une tasse : una taza
La poêle				La sartene

*** autres ***

Un mur 					Una pared
Le toit					El techo
La brosse				El cepillo
La machine à laver		La lavadora
Les toilettes			El bano
Le sèche linge			La secadora de ropa
Un parapluie			Un Paraguas
Le savon				El jabon
Un portefeuille			Una cartera
Le drap					La sabana
Le rasoir				La rasuradora
La brosse				El cepillo
Un bain					Un bano
Le portefeuille			La cartera
Le linge				La ropa
Un linge				Una sabana

Je vais au lit											Voy a a la cama
Avez vous une brosse ?									Tienen ustedes un cepillo

***************************
*** Parler de la taille ***
***************************

Grand grande / une grande robe 		un vestido grande
De quelle taille 					de que tamano es
C’est énorme 						es enorme
Ton manteau est court 				tu abrigo es corto
Je suis grand 						soy alto
C'est long							Es largo
C'est court							Es corto
Je suis petite 						Soy baja
Le chat est petit					El gato es pequeno
grandes 							altas
grosse								grande
longues								largas

La petite tomate					El tomatito
çà a la taille d'un oeuf			Es del tamano de un huevo / Tiene el tamano de un huevo

******************************************
*** Les métiers / Discuter des métiers ***
******************************************

Etes-vous un avocat ?					Es usted abogado ?
Non, je suis infirmier					No, soy enfermero
Nous sommes serveurs					Somos meseros
Mon fils es journaliste					Mi hijo es periodista
La femme est entrepreneur				La mujuer es empresaria
Mon oncle et ma tante sont docteurs		Mi tio y mi tia son doctores

Le caissier								El cajero	
Le peintre								El pintor
Le plombier								El plomero
L'employé								Un empleado
Le fermier								El granjero
La garde								La guardia
Le gardien								El guarda
Le capitaine							El capitan
L'enseignant							El docente
Le maître								El maestro
Le chef									El jefe
Le juge									El juez
La police								La policia
Le boulanger							El panadero
Le soldat								El soldado
Le cuisinier							El cocinero
L'infirmier								El enfermero
La propriétaire							La duena
Le prêtre 								El sacerdote	
Le conducteur							El conductor
L'ingénieur								El ingeniero
Le charpentier							La carpintera
Un agent								Un agente
Les policiers							Los policias
Un acteur 								Un actor
Des athlètes							Atletas	
Le peintre								El pintor
Une secrétaire							Una secretaria
La juge 								La jueza
Le travailleur							El trabajador 
Les paysans								Los campesinos 
Un enseignant							Un docente 
 
****************************
*** Exprimer son opinion ***
****************************

C'est un bon avocat						Es un buen abogado
Ta cravate est jolie					Tu corbata es bonita
La nourriture est bonne					La comida es buena
Tu es une personne positive				Eres una persona positiva
C'est possible							Es possible
Non, ce n'est pas normal				No, no es normal
Je suis populaire						Soy popular
Mon frère n'est pas bilingue			Mi hermano no es bilingue
Ta cravate est jolie					Tu corbata es bonita
Ma soeur m'aime							Mi hermana me quiere
C'est laid								Es feo
C'est un vieux chien					Es un perro viejo	
C'est utile								Es util
C'est pire								Es peor
C'est possible							Es posible
Il va mieux								Esta mejor
C'est important 						Es importante
C'est vrai 								Es cierto
C'est nécessaire						Es necesario
Des robes différentes ?					Vestidos distintos ?
Je suis capable							Soy capaz
Elle est sûre							Es segura
Ce sont des moments forts				Son momentos fuertes
La tortue est seule						La tortuga esta sola
Majeurs									principales
Tant de légumes							Tantas verduras 														
La nourriture est mauvaise				La comida esta mala
J'ai mes propres chats					Tengo mis propios gatos
Elles sont riches 						Son ricas
Oui, mais c'est récent					Si, pero es reciente
Je suis pauvre							Soy pobre
La viande est chère						La carne es cara
La jupe n'est pas chère					La falda es barata
assez									suficiente
dernières								ultimas
Les animaux sont différents				Los animales son distintos
Le pain est mauvaise					El pan es malo
Un livre neuf							Un libro nuevo
C'est un joli chapeau					Es un sombrero bonito
Vos mères sont âgées					Sus madres son mayores

*****************************************************
*** Exprime toi au présent, décris ce que tu vois ***
*****************************************************

Elle, elle a un chat					Ella tiene un gato	
Toi, tu ne parles pas espagnol			Tu, no hablas espanol
Eux, il veulent un chien				Ellos, quieren un perro
Lui et moi sommes cousins				El y yo somos primos
Moi, je ne mange pas de viande			Yo no como carne
Elle, elle dort							Ella duerme
Lui, ce n'est pas mon cousin			El no es mi primo	
Les animaux jouent						Los animales juegan	
Le chien suit le chat					El perro sigue el gato
Il ne reste pas de lait					No queda leche
Oui, moi je sais						Si, yo sé
Elle, elle les aide						Ella los ayuda		
C'est toi								Eres tu
Il n'y a plus de sel					No queda sal
Je pense à mes enfants					Pienso en mis hijos	 
La gare									La estacion
Vous ne me rendez pas visite ?			No me visitan ?
Etes-vous à la gare ?					Estan en la estacion ?
Aujourd’hui nous sommes mercredi		Hoy estamos a miercoles
Je rêve d'un cheval						Sueno con el caballo
Septembre se termine					Septiembre se acaba
Les chaussures ne tiennent pas			Los zapatos no caben
Non, la couleur ne compte pas			No, el color no importa
Toi, tu livres les repas				Tu entregas la comida
Elle sent								Ella siente / huele
Il requiert								El requiere
Il arrive en juin						El llega in junio 
Elle, elle ouvre une lettre				Ella abre una carta
Je commence								Empiezo

********************************************************
*** Décrire ce que l'on voit / utiliser des adverbes ***
********************************************************

Moi, j'ai beaucoup de livres			Yo tengo muchos libros
Ces éléphants sont bleus				estos elefantes son viejos
Elle, elle parle beaucoup				Ella habla mucho
ça va, merci							Estoy bien, gracias
C'est maintenant ou jamais				Es ahora o nunca
Je veux les 2 jupes						Quiero ambas faldas
J'ai peu de livres						Yo tengo pocos libros 
lui il mange lentement					El come despacio
Assez ou trop							Bastante / demasiado
C'est juste un enfant					es solo un nino 
Elle, elle vient ensuite				Ella viene luego
Je sais où elle est						Sé donde esta ella 
Il n'est pas encore ici 				Aun no esta aqui
Je ne mange pas autant que toi			No como tanto como tu
Lui non plus, ne veut pas de viande		El tampoco quiere carne
Il est presque rouge					Es casi rojo 
Lui, il mange rapidement				El come despacio / rapidamente 
A bientôt								Hasta pronto 
Moi, je mange énormément				Yo como bastante
Assez ou trop ?							Suficiente o demasiado ?
J'ai seulement une chaussures			Tengo solamente un zapato 
Je dors loin de vous					Duermo lejos de usted 
Très récemment							Muy recientemente 
Moi je mange à peine					Yo como apenas 
Généralement la viande est rouge		Generalmente la carne es roja 
Merci encore							Gracias nuevamente 
C'est absolument impossible				es absolutamente imposible 
C'est de nouveau l'été					Es verano nuevamente 
Il est comme ton père, surement			Es como tu padre seguramente 
Antérieurement							Anteriormente 
A plus tard								Hasta mas tarde 
Il y a environ un mois					Hace alrededor un mes 
La chemise est courte					La camisa es corta 
Nous sommes lundi						Estamos a lunes 
Il est moins intelligent que moi		El es menos inteligente que yo 
Moi aussi								Yo tambien
Si c'est ainsi							Si, asi es 
Je suis petit parce que je suis un enfant	Soy pequeno porque soy un nino 
Je l'ai déjà dit						Ya lo tengo 
C'est maintenant ou jamais				es ahora o nunca 
Elle, elle mange seulement de la viande	Ella solo come carne 
Seules les femmes boivent du thé		Solo las mujeres toman té 
J'écoute car vous parlez				Escucho ya que hablan	 
Je sais ou elle est						Sé donde esta ella 
Elle, elle est encore plus belle		Ella es aun mas hermosa 
A bientôt								Hasta pronto 
Bien sur								Por supuesto 
Lentement, s'il te plait				Lentamente / despacio por favor 
Dors tu assez ? 						Duermes suficiente / bastante ? 
Il boit trop ces jours-ci				Bebe demasiado por estos dias 
Ils regardent autour					Miran alredador	
Vraiment								Realmente / Muy 
Loin de nous							Lejos de nosotros 
Les femmes vont de l'avant				Las mujeres van adelante 
Très loin								Muy lejos
Je ne nage jamais						Jamas nado 
Ils regardent autour					Miran alrededor 
Merci vraiment							Gracias realmente 
C'est seulement un enfant				Es solamente un nino 
Egalement								Igualmente 
Elle regarde dessous					Mira debajo 
Simplement								Simplemente 
C'est pratiquement impossible			Es practicamente imposible 
Moi je mange à peine					Yo apenas como 
Immédiatement							Immediamente 
Très récemment							Muy recientemente 
Oui parfaitement						si perfectamente 
Normalement c'est possible				Normalmente es simple 
C'est généralement orange				es generalmente naranja 
Lui, il mange uniquement des pâtes		El unicamente come pasta 
C'est principalement du sucre			es principalmente azucar 
Il est approximativement aussi grand que toi 	Es aproximadamente tan grande como/que tu 
Très récemment							Muy recientemente 
Exactement								Exactemente 
Définitivement							Definitivamente 
Il marche rapidement					Camina rapidamente 
Merci encore							Gracias nuevamente 
C'est complètement vert 				Es completamente verde 
Antérieurement							Anteriormente 
Il lit facilement						Lee facilmente 
Il mange lentement						Come lentamente 
Pas nécessairement						No necesariamente 
C'est principalement					es principalmente 
Immédiatement							Immediatamente 
Définitivement							Definitivamente 
C'est possiblement pire					es possiblamente peor 
C'est relativement simple				es relativamente simple 
plus jeune naturellement				mas joven naturalmente 
Je ne t'aime pas non plus				No te quiero tampoco 
De plus									Ademas 
Nous sommes déjà en juin 				ya estamos en junio 
Trop									Demasiado 
Il vient toujours à cette heure ci		Viene siempre a esta hora 
Elle est presque aussi grande que vous	Es casi tan alta como usted 
Celà est-il au moins possible ?			eso es al menos posible ?
Je rêve trop							Sueno demasiado 
J'ai quelques							tengo algunos / cuantos 
Certaines jupes sont bleues				Ciertas faldas son azules 
A quel moment ?							En que momento ? 
Elle, elle n'a aucun frère				Ella no tiene ningun hermano 
Laquelle ?								Cual de todas ? 
Des chattes mangent						Unas gatas comen (dans le sens quelques) 
A lui, je lui lis un livre				A el, le leo un libro 
Ces animaux sont ceux de mon oncle		Esos animales son los de mi tio 
Lui, il vient chaque jour				el viene cada dia 
Elle, elle est tellement grande			Ella es tan grande 
Lui, il mange donc je mange				El come, assi que come 
Et ensuite /puis l'enfant mange			Y despues el nino come 
Je mange avant							Yo como antes 
Sa soeur est encore plus grande			Su hermana es todovia mas alta 
Je n'ai qu'une minute					Solo tengo un minuto 
C'est tout à fait impossible			es del todo imposible 
Antérieurement							Anteriormente 
Relativement							Relativamente 
Tu parles autant que moi				Hablas tanto como yo 
Qu'avez vous d'autre ? 					Qué mas tiene ? 
Elle aussi dort ici						Ella tambien duerme aqui 
Ma tante n'a plus de lait				Mi tia no tiene mas leche 
Il regarde dessous						Mira debajo 
Nous ne les avons jamais retrouvés		Nunca los encontramos 
Sa soeur est encore plus grande			Su hermana es todovia mas alta 
Le vin est forts						El vino esta fuerte 
Est-il laid ?							Es feo ? 
Il vient toujours à cette heure			Viene siempre a esta hora 

*********************************************
*** Décris des objets / Donne une raison ****
*********************************************

J'ai un nouveau vélo					Tengo une nueva bicicleta 
Ce n'est pas un écran bleu 				No es una pantalla azul 
Les bateaux sont rouges					Los barcos son rojos 
Je mange quand je veux					Como cuando quiero 
Pourquoi ? parce que !					Por qué ? porque si ! 
Peut-être parce que je ne vois pas bien	Quizas porque no veo bien 
Moi, je mange parce que lui il cuisine	Yo como porque el cocina 
Un ordinateur							Una computadora 
Une voiture								Un coche / auto 
Un stylo bille							Un boligrafio 
La balle								La bola
Une bouteille							Una botella
Un téléphone portable					un télefono celular 
Un avion 								Un avion
Des dollars								Dolares 
Un stylo plume							Una pluma 
les ciseaux								Las tijeras
Une chaîne								Una cadena 
De l'huile								Aceite 
Un objet 								Un objeto	
Un pont									Un puente 
Une boîte								Una caja 
L'appareil								El Apareto
Le métro								El metro 
La monnaie								La moneda 
La machine								La maquina
Une règle								Una regla 
Des notes de musique					Notas musicales 
Les armes								Las armas 
Une cloche								Una campana 
L'écran									La pantalla 
La colonne								La columna 
La poussière / poudre					El polvo 
Le train								El tren	
Une valise								Una maleta 
Une montre	/ Une horloge				Un reloj 
De l'argent								Dinero 
Un bateau      							Un barco 
Un appareil photo / caméra				Una camara 
La pile									La bateria 
La carte (bancaire)						La tarjeta 
Sac à dos								Mochila 
Un magazine								Una revista 
La source								La fuente 
Une page								Una pagina	
Un sac									Una bolsa 
Une photo								Una foto 
Un moteur								Un motor 
Les pièces								Las piezas 
Le sucre en poudre						El azucar en polvo 
Un drapeau								Una bandera 
La roue									La rueda 
Une liste								Una lista	
Le pont									El puente 
La boîte 								La caja
Les bâteaux								Los barcos 
Les journaux							Los diarios / periodicos 
Les documents							Los documentos 
Les pièces								Las piezas 

Et que leur dis-je ?					Y que les digo ?
Nous mangeons dans un moment			comemos en un rato
Je ne trouve pas le couteau				No encuentro el cochillo
La moto est jaune						La moto es amarilla
Un radio								Un radio
Ma carte est dans le bureau				Mi carta esta en la oficina 
Des carte des crédit					Tarjetas de credito
L'appareil								El aparato
Alcool									Alcohol
Des documents							Documentos
Une pièce (monnaie/maison)				Una moneda / un pieza 
Elle écoute la radio le matin			Escucha la radio por la manana 
Une carte								Una mapa 

********************************************************************
*** Chapitre 2, unité 7 : Décris des personnes, parles de voyage ***
********************************************************************

La chaise est petite					La silla es pequena
Le train est très rapide				El tren es muy rapido 
Ma valise n'est pas si grande			Mi maleta no es tan grande 
lui, il est pire						El es peor 
Elle c'est ma soeur aînée				Ella es mi hermana mayor 
Où est l'aéroport ?						Donde esta el aeropuerto ?
C'est une avenue importante				Es un avenida importante 
Les villes sont différentes				las ciudades son diferentes
La capitale de l'Espagne est une grande ville	La capital de Espana es una gran ciudad 
Où est la frontière ?					Donde esta la frontera 
C'est moi								Soy yo 
C'est toi								Eres tu 
Ca va bien								Estoy bien 
Je suis petit car je suis un enfant		Soy pequeno porque / ya que soy un nino 
Les murs								Las paredes 
Je descends les escaliers				Bajo las escaleras 
Avec qui êtes vous ce soir ?			Con quien estan esta noche ?
Nous sommes déjà en juin				Ya estamos en junio 
Je suis petite							Soy baja 
Il est avant sa femme					esta antes que su mujer 
Lui, il est encore au lit 				El aun esta en cama 
A n'importe quelle heure				en calquier hora 
Je ne trouve pas le couteau				No encuentro el cochillo 
A plus tard								Hasta luego
Mais pas tout de suite					Pero no a hora mismo 
Il y a environ un an 					Hace alrededor de un ano 
Hier soir où à l'aube ?					Anoche o en la madrugada 
Es-tu encore ici ?						Todovia estas aqui ?
Celà est au moins possible				Eso es al menos posible 

Un hôtel								Un hotel
Une plage								Una playa 
Un restaurant							Un restaurante 
Une bibliothèque 						Una biblioteca 
Un jardin								Un jardin 
Un aéroport 							Un aeropuerto 
Une rue 								Una calle 
Un café									Un café 
Une maison								Una casa 
L'école									La escuela 
Un château								Un castillo 
Une ville								Una ciudad 
L'université							La universidad 
Le pays									El pais 
Est-elle chez elle ?					Esta en su casa ?
Ma place est ici 						Mi lugar es aqui 
Une banque								Un banco 
Une chambre								Un cuarto 
La salle								La sala 
La place								La plaza 
La côte									La costa 
La region 								La region 
Le port 								El puerto 
La communauté							La communidad 
Un hôpital								Un hospital 
La zone 								El aria 
La nation 								La nacion 
Le terrain 								El terrano 
Le palais 								El palacio 
L'institut								El instituto 
Le département							El departamento 
Une île									Una isla 
Un édifice								Un edificio 
Le musée								El museo 
La prison 								La carcel 
Un parc 								Un parque 
Le quartier								El barrio 
Le bureau								la oficina 
Le territoire							El territorio 
Les bâtiments							Los edificios 
Le village								El pueblo  
Une tour								Una torre 
Le foyer								El hogar 
le salon								El salon / La sala 
La patrie								la patria 
Le festival								El festival 
L'exploitation agricole					La hacienda 
la fontière								La frontera 
La route								La carretera / La ruta 
Un bar									El bar 
la cour 								El patio 
Le coin / l'angle						La esquina 
La piste								la pista 
Un recoin								Un rincon 
L'avenue								La avenida 
Le continent							El continente 
L'ouest									El oeste 
La colonie								La colonia 
l'agence								La agencia 
La galerie								La galeria 
La capitale								La capital 
La distance								La distancia 
Il va jusqu'à chez elle					Va hasta la casa de ella 
Je suis en vacances						Estoy de vacaciones 
Ca va bien ?							Estas bien ? 
Nous sommes lundi						Estamos a lunes 
Vous, vous êtes des soldats professionnels Ustedes son soldados profesionales 
La bibliothèque							la biblioteca 
Où est le restaurant ?					Donde esta el restaurante ? 
Je marche depuis l'aéroport				Camino desde el aeropuerto 
Où sont les toilettes ?					Donde esta el bano ?
Le continent							El continente	

J'ai une maison sur la côte				Tengo una casa en la costa 
La cour									El patio 
L'institut								El instituto 
Le foyer								El hogar 
La table est dans le coin				La mesa esta en el rincon 
Il revient dans le salon				Vuelve al salon 
lui, il dort dans le salon				El duerme en la sala 
Ce cheval court dans la rue				Ese caballo corre por la calle 
La maison à l'angle						La casa en la esquina	

**************************************************
*** Parle de la société / Utilise des chiffres ***
**************************************************

La population est importante			la poblacion es importante 
C'est ma culture						Es mi cultura 
L'humanité est unique					La humanidad es unica 
Ce n'est pas sa coutume					No es su costumbre 
Moi j'ai 6 ans							Yo tengo seis anos 
5 plus 3 font 8							Cinco mas tres son ocho 
Combien fait 5 moins 3 ?				Cuanto es cinco menos tres ?
5 moins 3 font 2						Cinco menos tres son dos 
Ma maman a 4 frères						Mi mama tiene cuatro hermanos 
L'édifice a 13 étages					El edificio tiene trece pisos 
Oui monsieur							Si senor 
Je suis témoin							Soy testigo 
Les gens regardent 						La gente mira 
Le mariage 								El matrimonio 
La foire 								La feria 
Le compagnon / camarade					El companero 
La citoyenne							La ciudadana 
L'audience								La audiencia
La révolution							La revolucion 
Est-ce ta partenaire/paire/couple ?		Es tu pajera ?
Les adultes								Los adultos 
La voisine								La vecina 
Voici la lampe							Aqui esta la lampara 
Le tourisme								El turismo 
Le gentleman							El caballero 
C'est un garçon							Es un chico 
Les victimes							Las victimas 
Les individus							Los individuos 
La coûtume / L'habitude					La costumbre  / El habito
L'ennemi								El enemigo 
C'est juste								Es solo
Elle, elle regarde les filles			Ella mira a las chicas 
C'est un individu 						Es un individuo 
Le journal								El periodico 
Nous avons un témoin pour vous			tenemos un testigo para usted 
Paul est toujours un gentleman			Paul es siempre un caballero 
Ce n'est pas son habitude				No es su habito 
Après le mariage						Despuès el matrimonio 
Il est midi 							Son las doce 
Les nombres 							Los numeros 
Milliers								Miles 
Lui, il paye le double					El paga el doble 
La paire 								El par 
La majorité								La mayoria 
4 tonnes								Cuatro toneladas 
Ceci est la moitié						Esto es la mitad 
Il est déjà 11 heures 					Ya son las once 
Il y a 50 ans 							Hace cincuenta anos 
Il est 2 heures moins le quart 			es un cuarto para las dos 
Oui madame								Si senora 
Bonjour Monsieur						Buenos dias senor
Es-tu maintenant un gentleman ?			Ahora eres un caballero ?

**** Indication de l'heure 

Il est 5h30								Son las cinco y treinta 
Il est déjà 11h							Ya son las once
Il est 2 heurs moins le quart			Es un cuarto para las dos 
Il est 8h15								Son las ocho y cuarto

Le 3ème de la saison					El tercero de la temporada
Lui, il a des milliards de dollars		El tiene miles de milliones de dolares
Le 3ème dimanche de juin 				El tercer domingo de junio 
Ils font une bonne paire				Hacen un buen par

*****************************************************
*** Décris ce que tu manges / parles d'événements ***
*****************************************************

!!! Utilisation du pronom réfléchi devant le verbe !!! Cf. imprimé 

Tu manges le poulet						Te comes el pollo
Je mange une tomate						Me como un tomate 
Nous mangeons le pain 					Nos comemos el pan 
Elle, elle mange une orange				Ella se some una naranja 
Les enfants mangent de la soupe			Los ninos se comen la sopa 
Tes fils ont été chez moi				Tus hijos estuvieron en mi casa 
Tu as parlé avec ma soeur				Hablaste con mi hermana 
Qu'as tu bu ?							Que bebiste ?
J'ai bu du jus de fraises				Bebi jugo de fresas 
Elle, elle est arrivée seule			Ella llego sola 
Il s'en va 								Se va 
Rendez-vous en Octobre					Nos vemos en Octubre 
Tu manges ta soupe						Te comes tu sopa 
Tu essayes ta robe						Te pruebas un vestido 
Le chat mange la souris					El gato se come el raton 
Il ressemble à quoi ? 					A qué se parece ?
moi je mange un pain 					Yo me como un pan 
Je leur ressemble						Me les parezco a ellos 
L'enfant ressemble plus à son père		El nino se parece mas a su padre 
Nous restons 							Nos quedamos
Nous nous voyons demain					Nos vemos manana 
Je ne me sens pas bien					No me siento bien 
Moi je pèse le double de toi 			Yo peso el doble que tu 
Nous marchons sur la route				Caminamos por:en la carretera 
Elles restent entre femmes				Se quedan entre mujeres 
Fortement								Sumamente 
L'ai je mangé ?							La comi ? 
Elles m'ont parlé 						Ellas me hablaron 
Où avez-vous mangé hier ?				Donde comieron ayer ?
Nous avons aimé cet hôtel				Nos gusto este hotel 
Ta soeur a bu de l'eau					Tu hermana bebio agua 
Moi je suis allé au parce hier 			Yo fui al parque ayer 	 
Pablo a été mon professeur				Pablo fue mi profesor 
Quand as tu été sur ce bateau ?			Cuando estuviste en ese barco ? 
Mes amis et moi avons mangés au restaurant	Mis amigos y yo comimos en el restaurante 
ont bu									Bebieron 
Il ne lui a pas plu						A ella no le gusto el 
Je vous ai aimé 						Lo quise 
Lui, il me l'a dit						El me lo dijo 
Ils ont joué ensemble					Tocaron juntos	 
Hier iln n'a pas plu					Ayer no llovio 
Tu ne me l'as pas dit					No me lo dijiste 
Où as tu entendu celà ?					Donde oiste eso ? 
Il a aimé sa soeur						Quiso a su hermana 
Où as tu vu cette radio ?	            Donde viste esa radio ? 
Ma tante ne s'est pas vu dans un miroir Mi tia no se vio en un espejo 
Je l'ai vu il y a peu					Lo vi hace poco 
Qu'ai je eu ?							Qué tuvé ?
Je l'ai déjà fait 						Ya lo hice 
Elle, elle est arrivée seule			Ella llego sola 
Elle m'a donné une chemise				Me dio una camisa 
Quand as-tu fait celà ? 				Cuandi hiciste eso ? 
Lui, il ne sait même pas				El ni siquiera sabe 
Où est tu resté ?						En donde te quedaste ?
Elle aeu 3 filles avec lui 				Tuvo tres hijas con el 
Ceci est resré à sa place				Esto quedo en su lugar 	
Moi je suis resté à la maison 			Yo me quedo en la casa 
Eux ils ont laissé ceci à la porte		Ellos dejaron esto en la puerta 
Je l'ai laissé sur la table 			Lo dejé en la mesa 
J'ai mis celà							me puse eso 
Elle a pris son livre					Tomo su libro 
Le pire est déjà passé					Lo peor ya paso
Il a expliqué son livre					El explico su libro 
Toi tu es venu de l'hôtel				Tu viniste del hotel 
Moi j'ai récemment mangé du poulet		Yo recien comi pollo 
Eux ils ont commencé ceci 				Ellos comenzaron esto 
A quelle heure êtes vous revenu hier soir ? 	A qué hora volvio anoche ? 
Je suis venu après que tu es parti		Vine despuès que tu fuiste 
Elle a essayé							Intento
Je me suis décidé						Me decidi 
Tu as essayé							Intentaste  
